순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,인천광역시,중구,인천국제공항제1여객터미널,인천 중구 공항로 272-0,기타관광,교통시설,1319345
2,경기도,하남시,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,1049005
3,경기도,고양시 덕양구,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,862901
4,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,기타관광,교통시설,726906
5,인천광역시,중구,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,기타관광,교통시설,585073
6,경기도,성남시 분당구,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,515511
7,경기도,김포시,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,509710
8,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,456473
9,경기도,이천시,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰,376539
10,부산광역시,강서구,김해국제공항,부산 강서구 공항진입로 108-0,기타관광,교통시설,374255
11,경기도,파주시,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰,362011
12,서울특별시,강서구,김포국제공항,서울 강서구 하늘길 112-0,기타관광,교통시설,360962
13,경기도,시흥시,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,360689
14,인천광역시,연수구,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,344171
15,경기도,용인시 처인구,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,330266
16,서울특별시,서초구,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,326368
17,서울특별시,강남구,SRT수서역,서울 강남구 밤고개로 99-0,기타관광,교통시설,303481
18,서울특별시,광진구,동서울종합터미널,서울 광진구 강변역로 50-0,기타관광,교통시설,301147
19,경기도,파주시,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,298431
20,서울특별시,영등포구,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,294061
21,충청북도,청주시 흥덕구,오송역,충북 청주시 흥덕구 오송가락로 123-0,기타관광,교통시설,287620
22,제주특별자치도,제주시,제주국제공항,제주 제주시 공항로 2-0,기타관광,교통시설,285760
23,서울특별시,강서구,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,263374
24,경기도,화성시,SRT동탄역,경기 화성시 동탄역로 지하 151-0,기타관광,교통시설,259053
25,서울특별시,양천구,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,258581
26,경기도,광명시,광명역,경기 광명시 광명역로 21-0,기타관광,교통시설,257219
27,서울특별시,영등포구,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,253202
28,서울특별시,동작구,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,251985
29,부산광역시,해운대구,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,243950
30,충청남도,아산시,천안아산역,충남 아산시 희망로 100-0,기타관광,교통시설,242479
31,경기도,용인시 수지구,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,236936
32,서울특별시,송파구,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,231899
33,서울특별시,중구,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,230621
34,서울특별시,용산구,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,문화관광,공연시설,227562
35,울산광역시,울주군,울산역,울산 울주군 울산역로 177-0,기타관광,교통시설,220099
36,경기도,수원시 권선구,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,219037
37,인천광역시,중구,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양),217836
38,경기도,고양시 일산서구,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설,214874
39,서울특별시,송파구,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,212754
40,전북특별자치도,전주시 완산구,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,212376
41,서울특별시,서초구,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,기타관광,교통시설,208424
42,인천광역시,중구,월미도,인천 중구,자연관광,자연경관(하천/해양),207328
43,대구광역시,동구,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점,205263
44,경상남도,김해시,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,203908
45,서울특별시,송파구,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,197672
46,경기도,고양시 덕양구,행신역,경기 고양시 덕양구 소원로 102-0,기타관광,교통시설,197280
47,강원특별자치도,속초시,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,192140
48,강원특별자치도,강릉시,경포해변,강원 강릉시,자연관광,자연경관(하천/해양),188157
49,경기도,여주시,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,187076
50,충청남도,보령시,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),186565
51,경기도,수원시 권선구,수원버스터미널,경기 수원시 권선구 경수대로 270-0,기타관광,교통시설,186358
52,광주광역시,서구,유스퀘어 광주종합버스터미널,광주 서구 무진대로 904-0,기타관광,교통시설,182928
53,인천광역시,남동구,소래포구,인천 남동구 포구로 2-9,자연관광,자연경관(하천/해양),181965
54,경기도,부천시,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,177995
55,서울특별시,영등포구,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,176908
56,부산광역시,기장군,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰,175234
57,경기도,고양시 일산서구,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,174400
58,서울특별시,강남구,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,173055
59,서울특별시,강남구,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,172577
60,대구광역시,동구,동대구역,대구 동구 동대구로 550-0,기타관광,교통시설,169597
61,경기도,구리시,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,169352
62,대전광역시,동구,대전역,대전 동구 중앙로 215-0,기타관광,교통시설,165602
63,강원특별자치도,속초시,속초해변,강원 속초시 해오름로 186-0,자연관광,자연경관(하천/해양),165529
64,경기도,용인시 기흥구,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사관광,역사유적지,163291
65,서울특별시,강서구,김포국제공항국제선,서울 강서구 하늘길 38-0,기타관광,교통시설,163218
