순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,경기도,하남시,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,1283584
2,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,기타관광,교통시설,1010527
3,경기도,고양시 덕양구,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,889548
4,경기도,광명시,광명역,경기 광명시 광명역로 21-0,기타관광,교통시설,813038
5,인천광역시,중구,인천국제공항제1여객터미널,인천 중구 공항로 272-0,기타관광,교통시설,754784
6,경기도,김포시,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,726115
7,강원특별자치도,속초시,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,650308
8,경기도,여주시,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,627587
9,서울특별시,강남구,SRT수서역,서울 강남구 밤고개로 99-0,기타관광,교통시설,622237
10,경기도,성남시 분당구,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,591838
11,경기도,파주시,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,580436
12,경기도,용인시 기흥구,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰,554082
13,서울특별시,용산구,서울역,서울 용산구 한강대로 405-0,기타관광,교통시설,505492
14,서울특별시,서초구,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,505204
15,경기도,시흥시,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,472481
16,서울특별시,송파구,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,469510
17,인천광역시,연수구,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,468813
18,제주특별자치도,제주시,제주국제공항,제주 제주시 공항로 2-0,기타관광,교통시설,468661
19,서울특별시,영등포구,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,462956
20,경기도,파주시,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰,444662
21,경기도,용인시 처인구,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,437252
22,서울특별시,강서구,김포국제공항,서울 강서구 하늘길 112-0,기타관광,교통시설,412233
23,인천광역시,중구,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양),401716
24,인천광역시,중구,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,기타관광,교통시설,401257
25,서울특별시,동작구,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,394011
26,경기도,이천시,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰,389916
27,부산광역시,해운대구,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,376575
28,경기도,화성시,SRT동탄역,경기 화성시 동탄역로 지하 151-0,기타관광,교통시설,367282
29,충청북도,청주시 흥덕구,오송역,충북 청주시 흥덕구 오송가락로 123-0,기타관광,교통시설,363974
30,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,354367
31,부산광역시,기장군,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰,340177
32,대전광역시,동구,대전역,대전 동구 중앙로 215-0,기타관광,교통시설,337990
33,대구광역시,동구,동대구역,대구 동구 동대구로 550-0,기타관광,교통시설,336615
34,서울특별시,서초구,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,기타관광,교통시설,326624
35,서울특별시,광진구,동서울종합터미널,서울 광진구 강변역로 50-0,기타관광,교통시설,321101
36,경기도,수원시 영통구,갤러리아백화점광교점,경기 수원시 영통구 광교중앙로 124-0,쇼핑,백화점,314978
37,경기도,시흥시,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,314439
38,서울특별시,영등포구,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,314094
39,인천광역시,중구,월미도,인천 중구,자연관광,자연경관(하천/해양),305982
40,경기도,구리시,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,297933
41,경상남도,김해시,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,294777
42,서울특별시,양천구,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,294030
43,충청남도,아산시,천안아산역,충남 아산시 희망로 100-0,기타관광,교통시설,293034
44,서울특별시,용산구,용산역,서울 용산구 한강대로23길 55-0,기타관광,교통시설,290382
45,충청남도,보령시,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),290202
46,서울특별시,영등포구,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,289291
47,서울특별시,강서구,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,281802
48,강원특별자치도,속초시,속초해변,강원 속초시 해오름로 186-0,자연관광,자연경관(하천/해양),280206
49,경기도,용인시 수지구,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,275482
50,서울특별시,강남구,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,273233
51,서울특별시,중구,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,271795
52,제주특별자치도,제주시,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,267066
53,강원특별자치도,강릉시,경포해변,강원 강릉시,자연관광,자연경관(하천/해양),266539
54,인천광역시,미추홀구,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점,263295
55,부산광역시,강서구,김해국제공항,부산 강서구 공항진입로 108-0,기타관광,교통시설,260099
56,대구광역시,동구,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점,257792
57,울산광역시,울주군,울산역,울산 울주군 울산역로 177-0,기타관광,교통시설,253729
58,부산광역시,부산진구,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점,252165
59,대전광역시,유성구,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑,쇼핑몰,250957
60,경기도,부천시,스타필드시티부천,경기 부천시 옥길로 1-0,쇼핑,쇼핑몰,247797
61,경기도,하남시,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑,쇼핑몰,238019
62,인천광역시,강화군,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),237278
63,경기도,고양시 일산동구,일산호수공원,경기 고양시 일산동구 호수로 595-0,문화관광,도시공원,236794
64,인천광역시,남동구,소래포구종합어시장,인천 남동구 소래역로 12-0,쇼핑,시장,236072
65,경기도,고양시 덕양구,행신역,경기 고양시 덕양구 소원로 102-0,기타관광,교통시설,235935
66,부산광역시,기장군,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑,쇼핑몰,234712
67,서울특별시,강남구,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,233524
68,전북특별자치도,전주시 완산구,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,228273
69,제주특별자치도,서귀포시,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장,222995
70,서울특별시,송파구,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,222758
71,경기도,화성시,궁평항,경기 화성시 궁평항로 1049-24,자연관광,자연경관(하천/해양),222310
72,경기도,양평군,두물머리,경기 양평군,기타관광,기타관광,221822
73,강원특별자치도,강릉시,주문진항,강원 강릉시 해안로 1758-14,자연관광,자연경관(하천/해양),220574
74,부산광역시,강서구,김해공항국내선청사,부산 강서구 공항진입로 108-0,기타관광,교통시설,220004
75,서울특별시,송파구,롯데백화점잠실점,서울 송파구 올림픽로 240-0,쇼핑,백화점,215086
76,경기도,안성시,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰,214163
77,인천광역시,남동구,소래포구,인천 남동구 포구로 2-9,자연관광,자연경관(하천/해양),211439
78,서울특별시,중구,신세계백화점본점신관,서울 중구 퇴계로 77-0,쇼핑,백화점,211310
79,경기도,파주시,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광,209848
80,경기도,고양시 일산서구,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,쇼핑,백화점,208985
81,서울특별시,송파구,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,206177
82,부산광역시,해운대구,송정해수욕장,부산 해운대구 송정해변로 62-0,자연관광,자연경관(하천/해양),204760
83,경기도,수원시 권선구,수원버스터미널,경기 수원시 권선구 경수대로 270-0,기타관광,교통시설,204463
84,인천광역시,중구,인천종합어시장,인천 중구 연안부두로33번길 37-0,쇼핑,시장,200843
85,경기도,파주시,마장호수출렁다리,경기 파주시,기타관광,기타관광,200810
86,경기도,부천시,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,200755
87,충청남도,천안시 동남구,천안종합버스터미널,충남 천안시 동남구 만남로 43-0,기타관광,교통시설,198865
88,충청남도,당진시,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설,198161
89,경기도,수원시 팔달구,AK플라자수원,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점,196931
90,서울특별시,강서구,강서농산물도매시장,서울 강서구 발산로 40-0,쇼핑,시장,193917
91,경기도,수원시 권선구,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,193798
92,광주광역시,서구,유스퀘어 광주종합버스터미널,광주 서구 무진대로 904-0,기타관광,교통시설,192081
93,대전광역시,서구,갤러리아백화점타임월드점,대전 서구 대덕대로 211-0,쇼핑,백화점,190972
94,충청북도,청주시 청원구,청주국제공항,충북 청주시 청원구 오창대로 980-0,기타관광,교통시설,190829
95,경기도,수원시 영통구,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원,188307
96,부산광역시,수영구,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양),186784
97,경상북도,포항시 북구,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,185845
98,인천광역시,연수구,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원,184406
99,부산광역시,해운대구,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양),181515
100,서울특별시,성동구,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,178829
101,경기도,성남시 분당구,율동공원,경기 성남시 분당구 문정로 145-0,문화관광,도시공원,178435
102,인천광역시,미추홀구,인천종합터미널,인천 미추홀구 연남로 35-0,기타관광,교통시설,177089
103,경기도,의왕시,백운호수,경기 의왕시 학현로 0-0,자연관광,자연경관(하천/해양),175819
104,경기도,과천시,서울대공원,경기 과천시 대공원광장로 102-0,문화관광,테마공원,175145
105,경기도,고양시 일산서구,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설,172304
106,강원특별자치도,강릉시,주문진수산시장,강원 강릉시 시장1길 4-1,쇼핑,시장,172105
107,인천광역시,중구,연안부두,인천 중구 연안부두로 0-0,자연관광,자연경관(하천/해양),171504
108,인천광역시,연수구,스퀘어원,인천 연수구 청능대로 210-0,쇼핑,쇼핑몰,170948
109,경기도,남양주시,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰,168335
110,경기도,의정부시,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점,166784
